brand,processor_brand,processor_name,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,Touchscreen,msoffice,latest_price,star_rating
DELL,Intel,Core i3,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,Yes,43990,0
DELL,Intel,Core i3,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,Yes,43590,0
DELL,Intel,Core i3,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,Yes,41390,4.2
DELL,Intel,Core i3,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,Yes,44290,0
DELL,Intel,Core i3,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,No,No,48999,0
DELL,Intel,Core i3,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,Yes,39990,3.9
DELL,Intel,Core i3,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,No,46390,2.9
ASUS,Intel,Celeron Dual,4 GB GB,LPDDR4,0 GB,512 GB,Windows,64-bit,0,Casual,No,No,18990,3.6
ASUS,Intel,Celeron Dual,4 GB GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,No,No,17990,3.6
HP,Intel,Celeron Dual,4 GB GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,No,No,26470,3.6
HP,Intel,Celeron Dual,4 GB GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,No,No,27990,3.8
Lenovo,Intel,Celeron Dual,4 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,No,No,29999,3.3
Lenovo,Intel,Celeron Dual,4 GB GB,LPDDR4X,0 GB,512 GB,Windows,64-bit,0,Casual,No,No,25990,3.7
